benchmark,input_size,workers,mode,repetition,round,partition_time_secs,compute_time_secs,merge_time_secs,network_time_secs,border_redexes,border_ratio,agents_at_start,bytes_sent,bytes_received
dual_tree,23,1,local,0,0,0.000000,1.563534,0.000000,0.000000,0,0.000000,16777214,0,0
dual_tree,23,1,local,1,0,0.000000,1.552641,0.000000,0.000000,0,0.000000,16777214,0,0
dual_tree,23,1,local,2,0,0.000000,1.541605,0.000000,0.000000,0,0.000000,16777214,0,0
dual_tree,23,1,local,3,0,0.000000,1.552210,0.000000,0.000000,0,0.000000,16777214,0,0
dual_tree,23,1,local,4,0,0.000000,1.603494,0.000000,0.000000,0,0.000000,16777214,0,0
dual_tree,23,2,local,0,0,5.144268,0.074677,0.287448,0.000000,1,1.000000,16777214,0,0
dual_tree,23,2,local,1,0,5.050783,0.077186,0.297409,0.000000,1,1.000000,16777214,0,0
dual_tree,23,2,local,2,0,5.048043,0.072629,0.286366,0.000000,1,1.000000,16777214,0,0
dual_tree,23,2,local,3,0,5.026538,0.079934,0.300683,0.000000,1,1.000000,16777214,0,0
dual_tree,23,2,local,4,0,5.056631,0.080315,0.297365,0.000000,1,1.000000,16777214,0,0
dual_tree,23,4,local,0,0,5.084054,0.100965,0.338925,0.000000,1,1.000000,16777214,0,0
dual_tree,23,4,local,1,0,5.084247,0.106583,0.341954,0.000000,1,1.000000,16777214,0,0
dual_tree,23,4,local,2,0,5.044575,0.101906,0.327375,0.000000,1,1.000000,16777214,0,0
dual_tree,23,4,local,3,0,5.064390,0.103869,0.330394,0.000000,1,1.000000,16777214,0,0
dual_tree,23,4,local,4,0,5.157185,0.109525,0.332174,0.000000,1,1.000000,16777214,0,0
dual_tree,23,8,local,0,0,5.135297,0.164504,0.412620,0.000000,1,1.000000,16777214,0,0
dual_tree,23,8,local,1,0,5.170101,0.145850,0.410251,0.000000,1,1.000000,16777214,0,0
dual_tree,23,8,local,2,0,5.156428,0.144480,0.414961,0.000000,1,1.000000,16777214,0,0
dual_tree,23,8,local,3,0,5.155279,0.142560,0.402393,0.000000,1,1.000000,16777214,0,0
dual_tree,23,8,local,4,0,5.154354,0.155576,0.415119,0.000000,1,1.000000,16777214,0,0
dual_tree,24,1,local,0,0,0.000000,3.449401,0.000000,0.000000,0,0.000000,33554430,0,0
dual_tree,24,1,local,1,0,0.000000,3.461802,0.000000,0.000000,0,0.000000,33554430,0,0
dual_tree,24,1,local,2,0,0.000000,3.439647,0.000000,0.000000,0,0.000000,33554430,0,0
dual_tree,24,1,local,3,0,0.000000,3.469567,0.000000,0.000000,0,0.000000,33554430,0,0
dual_tree,24,1,local,4,0,0.000000,3.752644,0.000000,0.000000,0,0.000000,33554430,0,0
dual_tree,24,2,local,0,0,10.574393,0.152299,0.611062,0.000000,1,1.000000,33554430,0,0
dual_tree,24,2,local,1,0,10.535876,0.144411,0.608965,0.000000,1,1.000000,33554430,0,0
dual_tree,24,2,local,2,0,10.577900,0.150631,0.581512,0.000000,1,1.000000,33554430,0,0
dual_tree,24,2,local,3,0,10.503288,0.145493,0.590825,0.000000,1,1.000000,33554430,0,0
dual_tree,24,2,local,4,0,10.512248,0.149373,0.599289,0.000000,1,1.000000,33554430,0,0
dual_tree,24,4,local,0,0,10.648249,0.213117,0.680982,0.000000,1,1.000000,33554430,0,0
dual_tree,24,4,local,1,0,10.640326,0.188586,0.668852,0.000000,1,1.000000,33554430,0,0
dual_tree,24,4,local,2,0,10.537357,0.194840,0.663054,0.000000,1,1.000000,33554430,0,0
dual_tree,24,4,local,3,0,10.595586,0.202796,0.677467,0.000000,1,1.000000,33554430,0,0
dual_tree,24,4,local,4,0,10.614923,0.189092,0.676552,0.000000,1,1.000000,33554430,0,0
dual_tree,24,8,local,0,0,10.822724,0.313336,0.811614,0.000000,1,1.000000,33554430,0,0
dual_tree,24,8,local,1,0,10.722260,0.333267,0.836754,0.000000,1,1.000000,33554430,0,0
dual_tree,24,8,local,2,0,10.771688,0.311313,0.836701,0.000000,1,1.000000,33554430,0,0
dual_tree,24,8,local,3,0,10.807188,0.303245,1.072295,0.000000,1,1.000000,33554430,0,0
dual_tree,24,8,local,4,0,10.686939,0.314429,0.806715,0.000000,1,1.000000,33554430,0,0
dual_tree,25,1,local,0,0,0.000000,7.426685,0.000000,0.000000,0,0.000000,67108862,0,0
dual_tree,25,1,local,1,0,0.000000,7.394284,0.000000,0.000000,0,0.000000,67108862,0,0
dual_tree,25,1,local,2,0,0.000000,7.363507,0.000000,0.000000,0,0.000000,67108862,0,0
dual_tree,25,1,local,3,0,0.000000,7.447138,0.000000,0.000000,0,0.000000,67108862,0,0
dual_tree,25,1,local,4,0,0.000000,7.490777,0.000000,0.000000,0,0.000000,67108862,0,0
dual_tree,25,2,local,0,0,22.180210,0.298408,1.210160,0.000000,1,1.000000,67108862,0,0
dual_tree,25,2,local,1,0,21.894201,0.325543,1.202327,0.000000,1,1.000000,67108862,0,0
dual_tree,25,2,local,2,0,22.107744,0.292552,1.182072,0.000000,1,1.000000,67108862,0,0
dual_tree,25,2,local,3,0,21.887259,0.316731,1.229027,0.000000,1,1.000000,67108862,0,0
dual_tree,25,2,local,4,0,21.945203,0.297387,1.220598,0.000000,1,1.000000,67108862,0,0
dual_tree,25,4,local,0,0,21.954242,0.417451,1.374311,0.000000,1,1.000000,67108862,0,0
dual_tree,25,4,local,1,0,21.955338,0.381080,1.312274,0.000000,1,1.000000,67108862,0,0
dual_tree,25,4,local,2,0,21.947840,0.419334,1.374005,0.000000,1,1.000000,67108862,0,0
dual_tree,25,4,local,3,0,21.941544,0.429747,1.402035,0.000000,1,1.000000,67108862,0,0
dual_tree,25,4,local,4,0,21.920258,0.417258,1.333657,0.000000,1,1.000000,67108862,0,0
dual_tree,25,8,local,0,0,22.178827,0.590046,1.733411,0.000000,1,1.000000,67108862,0,0
dual_tree,25,8,local,1,0,22.190943,0.588111,1.639186,0.000000,1,1.000000,67108862,0,0
dual_tree,25,8,local,2,0,22.314076,0.669042,1.690242,0.000000,1,1.000000,67108862,0,0
dual_tree,25,8,local,3,0,22.372429,0.626297,1.670672,0.000000,1,1.000000,67108862,0,0
dual_tree,25,8,local,4,0,22.371578,0.640758,1.691751,0.000000,1,1.000000,67108862,0,0
ep_annihilation_con,10000000,1,local,0,0,0.000000,3.483122,0.000000,0.000000,0,0.000000,20000000,0,0
ep_annihilation_con,10000000,1,local,1,0,0.000000,3.456911,0.000000,0.000000,0,0.000000,20000000,0,0
ep_annihilation_con,10000000,1,local,2,0,0.000000,3.448945,0.000000,0.000000,0,0.000000,20000000,0,0
ep_annihilation_con,10000000,1,local,3,0,0.000000,3.435282,0.000000,0.000000,0,0.000000,20000000,0,0
ep_annihilation_con,10000000,1,local,4,0,0.000000,3.426289,0.000000,0.000000,0,0.000000,20000000,0,0
