benchmark,input_size,workers,mode,repetition,round,partition_time_secs,compute_time_secs,merge_time_secs,network_time_secs,border_redexes,border_ratio,agents_at_start,bytes_sent,bytes_received
dual_tree,6,2,local,5,0,0.000009,0.000001,0.000002,0.000000,1,1.000000,126,0,0
dual_tree,6,2,local,6,0,0.000009,0.000001,0.000002,0.000000,1,1.000000,126,0,0
dual_tree,6,2,local,7,0,0.000008,0.000001,0.000002,0.000000,1,1.000000,126,0,0
dual_tree,6,2,local,8,0,0.000008,0.000001,0.000002,0.000000,1,1.000000,126,0,0
dual_tree,6,2,local,9,0,0.000009,0.000001,0.000002,0.000000,1,1.000000,126,0,0
dual_tree,6,4,local,0,0,0.000011,0.000002,0.000003,0.000000,1,1.000000,126,0,0
dual_tree,6,4,local,1,0,0.000011,0.000001,0.000003,0.000000,1,1.000000,126,0,0
dual_tree,6,4,local,2,0,0.000011,0.000001,0.000003,0.000000,1,1.000000,126,0,0
dual_tree,6,4,local,3,0,0.000011,0.000001,0.000003,0.000000,1,1.000000,126,0,0
dual_tree,6,4,local,4,0,0.000010,0.000002,0.000003,0.000000,1,1.000000,126,0,0
dual_tree,6,4,local,5,0,0.000011,0.000002,0.000003,0.000000,1,1.000000,126,0,0
dual_tree,6,4,local,6,0,0.000010,0.000001,0.000003,0.000000,1,1.000000,126,0,0
dual_tree,6,4,local,7,0,0.000010,0.000002,0.000003,0.000000,1,1.000000,126,0,0
dual_tree,6,4,local,8,0,0.000011,0.000002,0.000003,0.000000,1,1.000000,126,0,0
dual_tree,6,4,local,9,0,0.000011,0.000002,0.000003,0.000000,1,1.000000,126,0,0
dual_tree,6,8,local,0,0,0.000012,0.000002,0.000004,0.000000,1,1.000000,126,0,0
dual_tree,6,8,local,1,0,0.000012,0.000002,0.000004,0.000000,1,1.000000,126,0,0
dual_tree,6,8,local,2,0,0.000012,0.000002,0.000004,0.000000,1,1.000000,126,0,0
dual_tree,6,8,local,3,0,0.000012,0.000002,0.000004,0.000000,1,1.000000,126,0,0
dual_tree,6,8,local,4,0,0.000012,0.000002,0.000004,0.000000,1,1.000000,126,0,0
dual_tree,6,8,local,5,0,0.000012,0.000002,0.000004,0.000000,1,1.000000,126,0,0
dual_tree,6,8,local,6,0,0.000012,0.000002,0.000004,0.000000,1,1.000000,126,0,0
dual_tree,6,8,local,7,0,0.000012,0.000002,0.000004,0.000000,1,1.000000,126,0,0
dual_tree,6,8,local,8,0,0.000012,0.000002,0.000004,0.000000,1,1.000000,126,0,0
dual_tree,6,8,local,9,0,0.000012,0.000002,0.000004,0.000000,1,1.000000,126,0,0
dual_tree,8,1,local,0,0,0.000000,0.000016,0.000000,0.000000,0,0.000000,510,0,0
dual_tree,8,1,local,1,0,0.000000,0.000016,0.000000,0.000000,0,0.000000,510,0,0
dual_tree,8,1,local,2,0,0.000000,0.000015,0.000000,0.000000,0,0.000000,510,0,0
dual_tree,8,1,local,3,0,0.000000,0.000015,0.000000,0.000000,0,0.000000,510,0,0
dual_tree,8,1,local,4,0,0.000000,0.000015,0.000000,0.000000,0,0.000000,510,0,0
dual_tree,8,1,local,5,0,0.000000,0.000015,0.000000,0.000000,0,0.000000,510,0,0
dual_tree,8,1,local,6,0,0.000000,0.000017,0.000000,0.000000,0,0.000000,510,0,0
dual_tree,8,1,local,7,0,0.000000,0.000015,0.000000,0.000000,0,0.000000,510,0,0
dual_tree,8,1,local,8,0,0.000000,0.000015,0.000000,0.000000,0,0.000000,510,0,0
dual_tree,8,1,local,9,0,0.000000,0.000015,0.000000,0.000000,0,0.000000,510,0,0
dual_tree,8,2,local,0,0,0.000041,0.000002,0.000011,0.000000,1,1.000000,510,0,0
dual_tree,8,2,local,1,0,0.000039,0.000002,0.000006,0.000000,1,1.000000,510,0,0
dual_tree,8,2,local,2,0,0.000038,0.000002,0.000008,0.000000,1,1.000000,510,0,0
dual_tree,8,2,local,3,0,0.000032,0.000002,0.000006,0.000000,1,1.000000,510,0,0
dual_tree,8,2,local,4,0,0.000028,0.000002,0.000006,0.000000,1,1.000000,510,0,0
dual_tree,8,2,local,5,0,0.000037,0.000002,0.000006,0.000000,1,1.000000,510,0,0
dual_tree,8,2,local,6,0,0.000034,0.000002,0.000006,0.000000,1,1.000000,510,0,0
dual_tree,8,2,local,7,0,0.000033,0.000002,0.000006,0.000000,1,1.000000,510,0,0
dual_tree,8,2,local,8,0,0.000029,0.000002,0.000006,0.000000,1,1.000000,510,0,0
dual_tree,8,2,local,9,0,0.000029,0.000002,0.000006,0.000000,1,1.000000,510,0,0
dual_tree,8,4,local,0,0,0.000035,0.000003,0.000010,0.000000,1,1.000000,510,0,0
dual_tree,8,4,local,1,0,0.000031,0.000003,0.000008,0.000000,1,1.000000,510,0,0
dual_tree,8,4,local,2,0,0.000031,0.000003,0.000007,0.000000,1,1.000000,510,0,0
dual_tree,8,4,local,3,0,0.000041,0.000003,0.000010,0.000000,1,1.000000,510,0,0
dual_tree,8,4,local,4,0,0.000031,0.000003,0.000008,0.000000,1,1.000000,510,0,0
dual_tree,8,4,local,5,0,0.000039,0.000004,0.000008,0.000000,1,1.000000,510,0,0
dual_tree,8,4,local,6,0,0.000030,0.000003,0.000007,0.000000,1,1.000000,510,0,0
dual_tree,8,4,local,7,0,0.000031,0.000003,0.000008,0.000000,1,1.000000,510,0,0
dual_tree,8,4,local,8,0,0.000041,0.000003,0.000008,0.000000,1,1.000000,510,0,0
dual_tree,8,4,local,9,0,0.000032,0.000003,0.000016,0.000000,1,1.000000,510,0,0
dual_tree,8,8,local,0,0,0.000041,0.000005,0.000016,0.000000,1,1.000000,510,0,0
dual_tree,8,8,local,1,0,0.000048,0.000005,0.000017,0.000000,1,1.000000,510,0,0
dual_tree,8,8,local,2,0,0.000051,0.000005,0.000011,0.000000,1,1.000000,510,0,0
dual_tree,8,8,local,3,0,0.000051,0.000005,0.000017,0.000000,1,1.000000,510,0,0
dual_tree,8,8,local,4,0,0.000041,0.000005,0.000014,0.000000,1,1.000000,510,0,0
dual_tree,8,8,local,5,0,0.000041,0.000005,0.000015,0.000000,1,1.000000,510,0,0
dual_tree,8,8,local,6,0,0.000046,0.000005,0.000015,0.000000,1,1.000000,510,0,0
dual_tree,8,8,local,7,0,0.000041,0.000005,0.000014,0.000000,1,1.000000,510,0,0
dual_tree,8,8,local,8,0,0.000044,0.000005,0.000014,0.000000,1,1.000000,510,0,0
dual_tree,8,8,local,9,0,0.000046,0.000005,0.000015,0.000000,1,1.000000,510,0,0
dual_tree,10,1,local,0,0,0.000000,0.000099,0.000000,0.000000,0,0.000000,2046,0,0
dual_tree,10,1,local,1,0,0.000000,0.000076,0.000000,0.000000,0,0.000000,2046,0,0
dual_tree,10,1,local,2,0,0.000000,0.000081,0.000000,0.000000,0,0.000000,2046,0,0
dual_tree,10,1,local,3,0,0.000000,0.000070,0.000000,0.000000,0,0.000000,2046,0,0
dual_tree,10,1,local,4,0,0.000000,0.000069,0.000000,0.000000,0,0.000000,2046,0,0
dual_tree,10,1,local,5,0,0.000000,0.000071,0.000000,0.000000,0,0.000000,2046,0,0
dual_tree,10,1,local,6,0,0.000000,0.000070,0.000000,0.000000,0,0.000000,2046,0,0
dual_tree,10,1,local,7,0,0.000000,0.000071,0.000000,0.000000,0,0.000000,2046,0,0
dual_tree,10,1,local,8,0,0.000000,0.000074,0.000000,0.000000,0,0.000000,2046,0,0
