benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
ep_annihilation_con,500000,sequential,0,0,true,0.360799,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,1,true,0.378553,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,2,true,0.389782,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,3,true,0.387004,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,4,true,0.364670,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,5,true,0.393025,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,6,true,0.372970,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,7,true,0.409978,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,8,true,0.370051,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,9,true,0.365429,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,0,true,0.599681,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,1,true,0.595423,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,2,true,0.553312,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,3,true,0.553210,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,4,true,0.545316,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,5,true,0.553036,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,6,true,0.542219,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,7,true,0.542847,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,8,true,0.576054,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,9,true,0.622335,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,0,true,2.692007,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,1,true,2.701606,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,2,true,2.660330,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,3,true,2.819715,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,4,true,2.688807,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,5,true,2.690639,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,6,true,2.745840,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,7,true,3.030725,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,8,true,2.832698,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,9,true,2.726251,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,0,true,0.272538,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,1,true,0.269280,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,2,true,0.271301,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,3,true,0.273629,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,4,true,0.272421,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,5,true,0.275247,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,6,true,0.258033,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,7,true,0.280112,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
